Sample,,,,,,,Aldosterone Results,,,,,,Aldosterone D4 (ISTD) Results,,,,,,DHEAS Results,,,,,,DHEAS D5 (ISTD) Results,,,,,,Cortisone Results,,,,,,Cortisone 13C3 (ISTD) Results,,,,,,Cortisol Results,,,,,,Cortisol D4 (ISTD) Results,,,,,,21-deoxycortisol Results,,,,,,21-deoxycortisol D8 (ISTD) Results,,,,,,Dexamethasone Results,,,,,,Dexamethasone D5 (ISTD) Results,,,,,,Corticosterone Results,,,,,,Corticosterone 13C3 (ISTD) Results,,,,,,11-deoxycortisol Results,,,,,,11-deoxycortisol D5 (ISTD) Results,,,,,,Androstenedione Results,,,,,,Androstenedione 13C3 (ISTD) Results,,,,,,11-deoxycorticosterone Results,,,,,,11-deoxycorticosterone 13C3 (ISTD) Results,,,,,,Testosterone Results,,,,,,Testosterone 13C (ISTD) Results,,,,,,DHEA Results,,,,,,DHEA D5 (ISTD) Results,,,,,,17-hydroxyprogesterone Results,,,,,,17-hydroxyprogesterone D8 (ISTD) Results,,,,,,Dihydrotestosterone Results,,,,,,Dihydrotestosterone D3 (ISTD) Results,,,,,,Progesterone Results,,,,,,Progesterone D9 (ISTD) Results,,,,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy,RT,Area,FWHM,MI,Final Conc.,Accuracy,RT,Area,Height,FWHM,MI,Accuracy
,,20260212_SST,20260212_SST01.d,ResponseCheck,,12/2/2026 2:33 pm,2.464,530907,0.107,False,1.7446,,2.451,481178,69702,0.105,False,,2.719,40557,0.102,False,336.1722,,2.719,32974,4703,0.113,False,,2.758,395052,0.096,False,2.7665,,2.757,367489,56906,0.096,True,,3.040,365176,0.101,True,13.4606,,3.027,227505,35432,0.101,False,,3.512,456954,0.093,False,1.4829,,3.476,389808,61892,0.101,False,,3.709,432528,0.101,False,10.6948,,3.674,395852,59887,0.100,False,,3.677,713789,0.099,True,3.7212,,3.677,484132,73294,0.100,False,,3.819,1566153,0.097,True,1.2059,,3.794,1250710,193206,0.094,False,,4.258,4918695,0.098,False,1.5334,,4.257,4940993,753828,0.097,False,,4.608,3130049,0.101,False,0.6040,,4.596,3333709,478863,0.104,False,,4.869,6981926,0.105,False,0.8448,,4.856,6299991,870402,0.110,False,,5.035,42658,0.106,True,30.7431,,4.999,38894,5211,0.104,False,,5.255,1322347,0.118,False,1.0075,,5.184,1309282,172015,0.110,False,,6.186,204853,0.140,False,2.4806,,6.150,205169,24399,0.123,False,,7.161,4428271,0.133,False,1.1552,,7.055,3814521,422475,0.130,False,
,,20260212_SST,20260212_SST02.d,ResponseCheck,,12/2/2026 2:47 pm,2.452,586672,0.107,False,1.9914,,2.439,468970,64032,0.112,False,,2.719,39438,0.099,False,310.7268,,2.707,34905,5135,0.107,False,,2.746,418378,0.093,False,3.1158,,2.745,341558,52520,0.096,True,,3.028,394633,0.097,True,13.6887,,3.015,241599,38225,0.097,False,,3.501,495549,0.094,False,1.6359,,3.464,383006,62436,0.095,False,,3.697,409429,0.098,False,9.2485,,3.674,434043,64870,0.099,False,,3.666,678026,0.100,True,3.5427,,3.665,483308,75287,0.098,False,,3.807,1428634,0.104,True,1.2059,,3.782,1140933,168258,0.098,False,,4.258,5361859,0.098,False,1.8707,,4.257,4437991,611369,0.106,False,,4.596,3209917,0.105,False,0.6912,,4.596,3003768,421134,0.106,False,,4.845,6578894,0.110,False,0.8649,,4.844,5807224,797095,0.111,False,,5.023,42709,0.106,False,30.0539,,4.987,39662,5160,0.113,False,,5.231,1350783,0.112,False,1.1450,,5.172,1181074,160269,0.113,False,,6.186,216317,0.122,False,2.4299,,6.150,220991,27027,0.121,False,,7.173,4201878,0.130,False,1.1837,,7.055,3535012,377652,0.138,False,
,,20260212_SST,20260212_SST03.d,ResponseCheck,,12/2/2026 3:00 pm,2.464,623875,0.100,False,2.2600,,2.451,441308,58214,0.112,False,,2.731,38629,0.094,False,298.0335,,2.719,35770,5572,0.103,False,,2.758,426167,0.097,False,2.9173,,2.757,373914,57684,0.098,True,,3.028,376635,0.097,True,12.2575,,3.027,258696,42557,0.095,False,,3.501,482737,0.097,False,1.8457,,3.476,330406,53438,0.094,False,,3.709,393524,0.104,False,8.9109,,3.674,433196,65330,0.097,False,,3.666,613729,0.103,True,3.2199,,3.665,481868,72221,0.101,False,,3.807,1485334,0.096,False,1.2974,,3.782,1105841,171595,0.097,False,,4.258,4772867,0.101,False,1.5763,,4.257,4667968,668655,0.103,False,,4.596,3515451,0.103,False,0.6819,,4.584,3332670,467124,0.105,False,,4.845,6702186,0.118,False,0.7487,,4.856,6765953,913353,0.110,False,,5.035,38529,0.110,False,21.0335,,4.999,47392,6118,0.111,False,,5.231,1482530,0.106,False,1.3258,,5.184,1123413,145343,0.117,False,,6.186,212991,0.146,False,2.7446,,6.150,194052,24511,0.109,False,,7.150,4330633,0.132,False,1.1380,,7.043,3784752,400918,0.146,False,
,,20260212_SST,20260212_SST04.d,ResponseCheck,,12/2/2026 3:13 pm,2.464,619499,0.115,False,2.0425,,2.451,483317,69835,0.104,False,,2.731,35979,0.118,False,274.2082,,2.707,36483,5397,0.104,False,,2.758,426365,0.097,False,2.8126,,2.757,389455,60447,0.098,False,,3.028,413573,0.095,False,13.7904,,3.015,251253,38302,0.099,False,,3.512,494626,0.093,False,1.5736,,3.464,397523,65352,0.095,False,,3.697,394501,0.101,False,10.0646,,3.674,383914,57732,0.102,False,,3.666,560329,0.098,True,2.8309,,3.665,501258,73849,0.103,False,,3.807,1428937,0.101,False,1.2842,,3.771,1074347,162085,0.095,False,,4.246,4617113,0.100,False,1.4199,,4.257,4995843,755230,0.098,False,,4.596,3304751,0.105,False,0.6600,,4.596,3232654,461419,0.107,False,,4.845,6666227,0.109,False,0.7198,,4.844,6978588,946943,0.115,False,,5.023,38901,0.098,False,26.0593,,4.987,40495,5638,0.109,False,,5.231,1315842,0.110,False,1.1007,,5.184,1195572,151832,0.116,False,,6.174,202767,0.123,False,2.7585,,6.126,183888,19964,0.130,False,,7.161,4640495,0.122,False,1.3964,,7.043,3325168,350374,0.143,False,
,,20260212_SST,20260212_SST05.d,ResponseCheck,,12/2/2026 3:27 pm,2.464,572952,0.109,False,1.8080,,2.451,502092,72962,0.101,False,,2.731,39046,0.109,False,291.9111,,2.719,36981,5893,0.097,False,,2.758,505042,0.092,False,3.0472,,2.757,422449,70638,0.089,False,,3.028,379645,0.099,False,14.2514,,3.027,222896,33846,0.097,False,,3.501,520449,0.098,False,1.6114,,3.476,408409,64170,0.099,False,,3.697,383730,0.099,False,9.6350,,3.662,390281,58357,0.099,False,,3.666,626855,0.101,True,2.8287,,3.677,561209,90745,0.091,False,,3.807,1455841,0.095,False,1.2100,,3.782,1158844,173772,0.098,False,,4.258,4558071,0.103,False,1.5105,,4.257,4645987,677541,0.098,False,,4.596,3496824,0.100,False,0.6281,,4.596,3587209,526704,0.103,False,,4.857,6596350,0.111,False,0.8289,,4.844,6058311,799858,0.112,False,,5.023,39026,0.106,False,28.0754,,4.999,38283,5503,0.107,False,,5.231,1236436,0.121,False,0.9921,,5.172,1242575,171341,0.102,False,,6.186,211184,0.151,False,2.5292,,6.126,207638,25177,0.120,False,,7.150,3720069,0.135,False,1.0463,,7.067,3526510,339286,0.158,False,
,,20260212_SST,20260212_SST06.d,ResponseCheck,,12/2/2026 3:40 pm,2.452,612900,0.112,False,2.0228,,2.439,482641,66598,0.110,False,,2.743,34112,0.103,False,293.8179,,2.731,32080,4969,0.098,False,,2.758,497284,0.092,False,2.8484,,2.757,447945,73170,0.092,True,,3.040,386719,0.096,True,13.4506,,3.027,241113,38881,0.093,False,,3.512,531121,0.094,False,1.8171,,3.476,369302,61771,0.095,False,,3.709,380585,0.097,False,8.8358,,3.674,422558,66651,0.095,False,,3.677,613128,0.100,True,2.9042,,3.677,534459,81212,0.102,False,,3.807,1450952,0.101,False,1.2460,,3.782,1123012,170481,0.093,False,,4.269,4288065,0.101,False,1.3013,,4.269,5045801,742637,0.098,False,,4.608,2898822,0.110,False,0.4990,,4.596,3702263,569124,0.094,False,,4.857,7186469,0.112,False,0.9561,,4.856,5773631,776433,0.110,False,,5.035,40446,0.113,False,28.3641,,4.999,39352,4726,0.126,False,,5.231,1414318,0.118,False,1.1583,,5.184,1222718,170658,0.106,False,,6.174,225616,0.113,False,2.9776,,6.150,191055,22101,0.122,False,,7.161,4333964,0.131,False,1.1627,,7.055,3709696,395743,0.140,False,
,,20260212_SST,20260212_SST07.d,ResponseCheck,,12/2/2026 3:54 pm,2.464,528115,0.114,False,1.6011,,2.439,518582,75305,0.106,False,,2.731,36236,0.094,False,311.2026,,2.719,32018,4830,0.106,False,,2.746,477177,0.095,False,2.8141,,2.757,435601,68045,0.097,False,,3.028,362736,0.100,False,13.0585,,3.027,233233,35271,0.101,False,,3.512,507698,0.101,False,1.7379,,3.476,369231,61950,0.091,False,,3.709,381916,0.096,False,10.2715,,3.674,364095,52897,0.104,False,,3.677,632106,0.098,True,3.3085,,3.665,482858,76876,0.095,False,,3.807,1389585,0.103,False,1.3600,,3.782,988709,150136,0.096,False,,4.246,4602617,0.092,False,1.4252,,4.257,4962154,746682,0.096,False,,4.584,3633249,0.097,False,0.6595,,4.596,3556916,526705,0.103,False,,4.845,6726347,0.111,False,0.7782,,4.856,6551438,910178,0.110,False,,5.023,43731,0.104,False,28.1019,,4.987,42866,5610,0.110,False,,5.231,1248023,0.112,False,1.0717,,5.160,1163738,146880,0.119,False,,6.174,199196,0.147,False,2.7391,,6.138,181817,20465,0.129,False,,7.150,4576171,0.125,False,1.2506,,7.043,3649927,416650,0.128,False,
,,20260212_SST,20260212_SST08.d,ResponseCheck,,12/2/2026 4:07 pm,2.464,612689,0.107,False,2.1303,,2.451,459005,62313,0.111,False,,2.731,33435,0.103,False,289.4987,,2.731,31954,4818,0.104,False,,2.758,519925,0.088,False,3.0527,,2.757,434042,71490,0.091,False,,3.028,396725,0.102,True,13.8620,,3.015,239724,37888,0.095,False,,3.501,484430,0.100,False,1.6522,,3.476,370704,60175,0.098,False,,3.709,364290,0.102,False,8.2691,,3.674,432588,68988,0.098,False,,3.677,717149,0.102,True,3.8494,,3.665,470052,72132,0.096,False,,3.819,1369118,0.094,False,1.2709,,3.782,1039692,158539,0.097,False,,4.258,4583569,0.097,False,1.6112,,4.257,4388521,653596,0.097,False,,4.596,3462092,0.103,False,0.6138,,4.596,3630686,532219,0.100,False,,4.845,6901295,0.106,False,0.9011,,4.856,5861892,802443,0.112,False,,5.035,38936,0.109,False,23.4788,,4.999,43994,5891,0.103,False,,5.231,1330984,0.105,False,1.1656,,5.172,1143724,143907,0.122,False,,6.186,213640,0.117,False,2.9090,,6.150,184685,19775,0.132,False,,7.150,4194165,0.136,False,1.2228,,7.032,3419048,368551,0.139,False,
,,20260212_SST,20260212_SST09.d,ResponseCheck,,12/2/2026 4:20 pm,2.464,553027,0.108,False,1.7978,,2.439,487229,66507,0.110,False,,2.731,31949,0.111,False,258.3422,,2.719,34586,5108,0.108,False,,2.758,483226,0.096,False,2.8350,,2.745,437541,70939,0.092,True,,3.016,390983,0.098,True,14.3059,,3.015,228645,35509,0.097,False,,3.501,484135,0.096,False,1.7058,,3.476,358760,58144,0.096,False,,3.709,399632,0.099,False,9.5483,,3.662,410189,63608,0.099,False,,3.677,602902,0.100,True,3.0362,,3.665,502387,79800,0.093,False,,3.807,1302775,0.105,True,1.1698,,3.771,1071050,162154,0.096,False,,4.258,4729631,0.092,False,1.5808,,4.245,4612960,676461,0.099,False,,4.584,3044723,0.109,False,0.5834,,4.584,3351778,473009,0.102,False,,4.845,5787289,0.113,False,0.6501,,4.833,6652210,958846,0.100,False,,5.023,45315,0.108,False,29.4033,,4.987,42832,5757,0.106,False,,5.231,1287422,0.104,False,1.1124,,5.172,1157788,148495,0.119,False,,6.174,207856,0.153,False,2.7913,,6.126,186488,21355,0.124,False,,7.150,4035066,0.135,False,1.1451,,7.043,3505448,403513,0.121,False,
,,20260212_SST,20260212_SST10.d,ResponseCheck,,12/2/2026 4:34 pm,2.464,554906,0.108,False,1.7374,,2.451,504879,70573,0.108,False,,2.731,37647,0.096,False,343.4912,,2.719,29908,4635,0.102,False,,2.758,504284,0.099,False,2.9252,,2.757,441139,72318,0.093,False,,3.028,463423,0.090,False,16.7966,,3.015,229520,36652,0.094,False,,3.512,480534,0.096,False,1.6973,,3.476,357894,58186,0.096,False,,3.697,386714,0.100,False,9.9999,,3.662,378796,57433,0.099,False,,3.666,655334,0.102,True,3.8215,,3.665,432702,67457,0.095,False,,3.807,1345937,0.098,False,1.2264,,3.782,1057691,163620,0.097,False,,4.246,4681936,0.095,False,1.4854,,4.245,4850096,750546,0.093,False,,4.596,3543916,0.098,False,0.6513,,4.596,3511061,489121,0.111,False,,4.845,6151810,0.110,False,0.8814,,4.844,5334801,666112,0.120,False,,5.023,37427,0.112,False,24.6693,,4.999,40683,5127,0.111,False,,5.231,1321211,0.105,False,1.2951,,5.172,1024353,133796,0.112,False,,6.174,237308,0.132,False,2.6235,,6.138,225419,25017,0.134,False,,7.150,4082163,0.127,False,1.1904,,7.043,3415365,382803,0.131,False,
