feature_name,internal_standard,raw_data_filename,time_stamp,batch,sample_type,precursor_mz,product_mz,collision_energy,polarity,rt_apex,area,height,FWHM,rt_int_start,rt_int_end
11-deoxycorticosterone,11-deoxycorticosterone,Blank1_P1.mzML,2026-02-12T18:10:25Z,1,BLK,331.300,97.100,24.0,+,4.386,696.4,181.0,0.363,4.377,4.741
11-deoxycorticosterone,11-deoxycorticosterone,PBlank1_P1.mzML,2026-02-12T18:22:35Z,1,PBLK,331.300,97.100,24.0,+,4.749,681.4,242.6,0.363,4.397,4.761
11-deoxycorticosterone,11-deoxycorticosterone,Cal 0_P1.mzML,2026-02-12T18:37:45Z,1,CAL,331.300,97.100,24.0,+,4.432,2002.6,378.6,0.303,4.350,4.679
11-deoxycorticosterone,11-deoxycorticosterone,Cal A_P1.mzML,2026-02-12T18:51:16Z,1,CAL,331.300,97.100,24.0,+,4.608,18044.2,2944.1,0.106,4.456,4.772
11-deoxycorticosterone,11-deoxycorticosterone,Cal B_P1.mzML,2026-02-12T19:04:37Z,1,CAL,331.300,97.100,24.0,+,4.597,58215.4,8598.6,0.105,4.362,4.761
11-deoxycorticosterone,11-deoxycorticosterone,Cal C_P1.mzML,2026-02-12T19:17:58Z,1,CAL,331.300,97.100,24.0,+,4.608,152369.3,22559.8,0.109,4.374,4.761
11-deoxycorticosterone,11-deoxycorticosterone,Cal D_P1.mzML,2026-02-12T19:31:19Z,1,CAL,331.300,97.100,24.0,+,4.597,367190.5,51565.2,0.110,4.362,4.761
11-deoxycorticosterone,11-deoxycorticosterone,Cal E_P1.mzML,2026-02-12T19:44:43Z,1,CAL,331.300,97.100,24.0,+,4.608,898531.4,126879.3,0.109,4.362,4.772
11-deoxycorticosterone,11-deoxycorticosterone,Cal F_P1.mzML,2026-02-12T19:58:04Z,1,CAL,331.300,97.100,24.0,+,4.620,2552666.0,371010.1,0.107,4.409,4.772
11-deoxycorticosterone,11-deoxycorticosterone,Blank2_P1.mzML,2026-02-12T20:11:24Z,1,BLK,331.300,97.100,24.0,+,4.538,1155.3,256.6,0.363,4.377,4.741
