feature_name,internal_standard,raw_data_filename,time_stamp,batch,sample_type,precursor_mz,product_mz,collision_energy,polarity,rt_apex,area,height,FWHM,rt_int_start,rt_int_end
11-deoxycorticosterone,11-deoxycorticosterone,20260212_SST01.mzML,2026-02-12T14:33:45Z,1,SPL,331.300,97.100,24.0,+,4.608,3133026.5,460524.0,0.101,4.420,4.925
11-deoxycorticosterone,11-deoxycorticosterone,20260212_SST02.mzML,2026-02-12T14:47:15Z,1,SPL,331.300,97.100,24.0,+,4.596,3184666.5,458465.9,0.105,4.408,4.937
11-deoxycorticosterone,11-deoxycorticosterone,20260212_SST03.mzML,2026-02-12T15:00:36Z,1,SPL,331.300,97.100,24.0,+,4.596,3531395.2,519568.6,0.103,4.408,4.925
11-deoxycorticosterone,11-deoxycorticosterone,20260212_SST04.mzML,2026-02-12T15:13:59Z,1,SPL,331.300,97.100,24.0,+,4.596,3333478.5,474533.0,0.105,4.408,4.937
11-deoxycorticosterone,11-deoxycorticosterone,20260212_SST05.mzML,2026-02-12T15:27:20Z,1,SPL,331.300,97.100,24.0,+,4.596,3518404.2,521049.5,0.100,4.408,4.937
11-deoxycorticosterone,11-deoxycorticosterone,20260212_SST06.mzML,2026-02-12T15:40:44Z,1,SPL,331.300,97.100,24.0,+,4.608,2903555.5,390804.4,0.110,4.420,4.949
11-deoxycorticosterone,11-deoxycorticosterone,20260212_SST07.mzML,2026-02-12T15:54:07Z,1,SPL,331.300,97.100,24.0,+,4.584,3599306.8,551392.8,0.097,4.408,4.937
11-deoxycorticosterone,11-deoxycorticosterone,20260212_SST08.mzML,2026-02-12T16:07:33Z,1,SPL,331.300,97.100,24.0,+,4.596,3455295.5,501603.1,0.103,4.408,4.925
11-deoxycorticosterone,11-deoxycorticosterone,20260212_SST09.mzML,2026-02-12T16:20:56Z,1,SPL,331.300,97.100,24.0,+,4.584,3028650.5,423812.6,0.109,4.408,4.937
11-deoxycorticosterone,11-deoxycorticosterone,20260212_SST10.mzML,2026-02-12T16:34:17Z,1,SPL,331.300,97.100,24.0,+,4.596,3509631.2,531115.1,0.098,4.408,4.937
11-deoxycorticosterone 13C3,11-deoxycorticosterone 13C3,20260212_SST01.mzML,2026-02-12T14:33:45Z,1,SPL,334.200,100.100,24.0,+,4.596,3317657.8,478951.9,0.104,4.419,4.949
11-deoxycorticosterone 13C3,11-deoxycorticosterone 13C3,20260212_SST02.mzML,2026-02-12T14:47:15Z,1,SPL,334.200,100.100,24.0,+,4.596,2984852.8,421204.2,0.106,4.407,4.937
11-deoxycorticosterone 13C3,11-deoxycorticosterone 13C3,20260212_SST03.mzML,2026-02-12T15:00:36Z,1,SPL,334.200,100.100,24.0,+,4.584,3308410.5,467191.6,0.105,4.407,4.937
11-deoxycorticosterone 13C3,11-deoxycorticosterone 13C3,20260212_SST04.mzML,2026-02-12T15:13:59Z,1,SPL,334.200,100.100,24.0,+,4.596,3226084.8,461492.6,0.107,4.407,4.902
11-deoxycorticosterone 13C3,11-deoxycorticosterone 13C3,20260212_SST05.mzML,2026-02-12T15:27:20Z,1,SPL,334.200,100.100,24.0,+,4.596,3573388.2,526766.6,0.103,4.407,4.937
11-deoxycorticosterone 13C3,11-deoxycorticosterone 13C3,20260212_SST06.mzML,2026-02-12T15:40:44Z,1,SPL,334.200,100.100,24.0,+,4.596,3692122.5,569188.8,0.094,4.419,4.937
11-deoxycorticosterone 13C3,11-deoxycorticosterone 13C3,20260212_SST07.mzML,2026-02-12T15:54:07Z,1,SPL,334.200,100.100,24.0,+,4.596,3550719.2,526806.2,0.103,4.407,4.925
11-deoxycorticosterone 13C3,11-deoxycorticosterone 13C3,20260212_SST08.mzML,2026-02-12T16:07:33Z,1,SPL,334.200,100.100,24.0,+,4.596,3590015.5,532306.6,0.100,4.407,4.937
11-deoxycorticosterone 13C3,11-deoxycorticosterone 13C3,20260212_SST09.mzML,2026-02-12T16:20:56Z,1,SPL,334.200,100.100,24.0,+,4.584,3311843.8,473127.8,0.102,4.407,4.937
11-deoxycorticosterone 13C3,11-deoxycorticosterone 13C3,20260212_SST10.mzML,2026-02-12T16:34:17Z,1,SPL,334.200,100.100,24.0,+,4.596,3490812.2,489197.9,0.111,4.407,4.937
11-deoxycorticosterone 13C3 [QUAL],11-deoxycorticosterone 13C3 [QUAL],20260212_SST01.mzML,2026-02-12T14:33:45Z,1,SPL,334.200,112.100,36.0,+,4.596,3375429.2,507014.6,0.098,4.419,4.949
11-deoxycorticosterone 13C3 [QUAL],11-deoxycorticosterone 13C3 [QUAL],20260212_SST02.mzML,2026-02-12T14:47:15Z,1,SPL,334.200,112.100,36.0,+,4.596,3346396.2,490211.2,0.104,4.419,4.949
11-deoxycorticosterone 13C3 [QUAL],11-deoxycorticosterone 13C3 [QUAL],20260212_SST03.mzML,2026-02-12T15:00:36Z,1,SPL,334.200,112.100,36.0,+,4.596,3003080.2,432366.8,0.104,4.419,4.949
11-deoxycorticosterone 13C3 [QUAL],11-deoxycorticosterone 13C3 [QUAL],20260212_SST04.mzML,2026-02-12T15:13:59Z,1,SPL,334.200,112.100,36.0,+,4.596,3025791.8,435628.1,0.105,4.407,4.937
11-deoxycorticosterone 13C3 [QUAL],11-deoxycorticosterone 13C3 [QUAL],20260212_SST05.mzML,2026-02-12T15:27:20Z,1,SPL,334.200,112.100,36.0,+,4.596,3115347.2,433973.3,0.109,4.407,4.913
11-deoxycorticosterone 13C3 [QUAL],11-deoxycorticosterone 13C3 [QUAL],20260212_SST06.mzML,2026-02-12T15:40:44Z,1,SPL,334.200,112.100,36.0,+,4.608,3102523.0,449372.7,0.103,4.419,4.949
11-deoxycorticosterone 13C3 [QUAL],11-deoxycorticosterone 13C3 [QUAL],20260212_SST07.mzML,2026-02-12T15:54:07Z,1,SPL,334.200,112.100,36.0,+,4.596,3159714.2,450892.7,0.102,4.407,4.925
11-deoxycorticosterone 13C3 [QUAL],11-deoxycorticosterone 13C3 [QUAL],20260212_SST08.mzML,2026-02-12T16:07:33Z,1,SPL,334.200,112.100,36.0,+,4.596,3321063.5,488033.5,0.104,4.407,4.937
11-deoxycorticosterone 13C3 [QUAL],11-deoxycorticosterone 13C3 [QUAL],20260212_SST09.mzML,2026-02-12T16:20:56Z,1,SPL,334.200,112.100,36.0,+,4.584,2945817.8,421107.8,0.103,4.407,4.937
11-deoxycorticosterone 13C3 [QUAL],11-deoxycorticosterone 13C3 [QUAL],20260212_SST10.mzML,2026-02-12T16:34:17Z,1,SPL,334.200,112.100,36.0,+,4.596,3007719.8,423465.9,0.109,4.407,4.937
11-deoxycorticosterone [QUAL],11-deoxycorticosterone [QUAL],20260212_SST01.mzML,2026-02-12T14:33:45Z,1,SPL,331.300,109.100,36.0,+,4.596,3138482.5,460557.8,0.105,4.420,4.949
11-deoxycorticosterone [QUAL],11-deoxycorticosterone [QUAL],20260212_SST02.mzML,2026-02-12T14:47:15Z,1,SPL,331.300,109.100,36.0,+,4.596,3326525.2,462159.7,0.110,4.420,4.937
11-deoxycorticosterone [QUAL],11-deoxycorticosterone [QUAL],20260212_SST03.mzML,2026-02-12T15:00:36Z,1,SPL,331.300,109.100,36.0,+,4.596,3093248.2,442631.4,0.102,4.420,4.949
11-deoxycorticosterone [QUAL],11-deoxycorticosterone [QUAL],20260212_SST04.mzML,2026-02-12T15:13:59Z,1,SPL,331.300,109.100,36.0,+,4.596,3287758.8,503086.6,0.099,4.408,4.937
11-deoxycorticosterone [QUAL],11-deoxycorticosterone [QUAL],20260212_SST05.mzML,2026-02-12T15:27:20Z,1,SPL,331.300,109.100,36.0,+,4.596,3172229.0,484755.3,0.099,4.420,4.878
11-deoxycorticosterone [QUAL],11-deoxycorticosterone [QUAL],20260212_SST06.mzML,2026-02-12T15:40:44Z,1,SPL,331.300,109.100,36.0,+,4.608,3068948.2,428843.2,0.108,4.420,4.949
11-deoxycorticosterone [QUAL],11-deoxycorticosterone [QUAL],20260212_SST07.mzML,2026-02-12T15:54:07Z,1,SPL,331.300,109.100,36.0,+,4.596,3171528.8,464621.4,0.102,4.408,4.937
11-deoxycorticosterone [QUAL],11-deoxycorticosterone [QUAL],20260212_SST08.mzML,2026-02-12T16:07:33Z,1,SPL,331.300,109.100,36.0,+,4.596,3523461.2,547051.1,0.099,4.420,4.949
11-deoxycorticosterone [QUAL],11-deoxycorticosterone [QUAL],20260212_SST09.mzML,2026-02-12T16:20:56Z,1,SPL,331.300,109.100,36.0,+,4.596,3360085.5,494284.1,0.101,4.408,4.937
11-deoxycorticosterone [QUAL],11-deoxycorticosterone [QUAL],20260212_SST10.mzML,2026-02-12T16:34:17Z,1,SPL,331.300,109.100,36.0,+,4.596,3067527.8,450212.7,0.099,4.408,4.937
11-deoxycortisol,11-deoxycortisol,20260212_SST01.mzML,2026-02-12T14:33:45Z,1,SPL,347.300,97.100,32.0,+,3.819,1555675.1,249261.0,0.097,3.713,4.160
11-deoxycortisol,11-deoxycortisol,20260212_SST02.mzML,2026-02-12T14:47:15Z,1,SPL,347.300,97.100,32.0,+,3.807,1381774.6,208912.5,0.105,3.713,4.148
11-deoxycortisol,11-deoxycortisol,20260212_SST03.mzML,2026-02-12T15:00:36Z,1,SPL,347.300,97.100,32.0,+,3.807,1386061.0,222258.9,0.096,3.713,4.148
11-deoxycortisol,11-deoxycortisol,20260212_SST04.mzML,2026-02-12T15:13:59Z,1,SPL,347.300,97.100,32.0,+,3.807,1364648.0,210897.8,0.101,3.713,4.148
11-deoxycortisol,11-deoxycortisol,20260212_SST05.mzML,2026-02-12T15:27:20Z,1,SPL,347.300,97.100,32.0,+,3.807,1384481.1,223470.6,0.095,3.713,4.148
11-deoxycortisol,11-deoxycortisol,20260212_SST06.mzML,2026-02-12T15:40:44Z,1,SPL,347.300,97.100,32.0,+,3.807,1380714.4,209444.1,0.101,3.713,4.160
11-deoxycortisol,11-deoxycortisol,20260212_SST07.mzML,2026-02-12T15:54:07Z,1,SPL,347.300,97.100,32.0,+,3.807,1285343.4,198690.9,0.103,3.713,4.148
11-deoxycortisol,11-deoxycortisol,20260212_SST08.mzML,2026-02-12T16:07:33Z,1,SPL,347.300,97.100,32.0,+,3.819,1308562.4,213226.2,0.094,3.713,4.101
11-deoxycortisol,11-deoxycortisol,20260212_SST09.mzML,2026-02-12T16:20:56Z,1,SPL,347.300,97.100,32.0,+,3.807,1272907.6,191131.2,0.106,3.713,4.136
11-deoxycortisol,11-deoxycortisol,20260212_SST10.mzML,2026-02-12T16:34:17Z,1,SPL,347.300,97.100,32.0,+,3.807,1300304.5,204516.7,0.098,3.713,4.148
