analyte_id,fit_model,fit_weighting,coef_a,coef_b,coef_c,r2,r
11-deoxycorticosterone,quadratic,1/x,0.012561,1.471006,0.045895,0.99814671,0.99876387
11-deoxycortisol,quadratic,1/x,0.005944,0.979570,0.062277,0.99928902,0.99934639
17-hydroxyprogesterone,quadratic,1/x,0.001839,0.968498,0.032375,0.99971222,0.99989559
21-deoxycortisol,quadratic,1/x,0.006042,0.775778,0.008574,0.99935158,0.99840761
Aldosterone,quadratic,1/x,0.015073,0.541702,0.112439,0.99656098,0.99524722
Androstenedione,quadratic,1/x,0.005103,0.613205,0.043215,0.99955385,0.99845794
Corticosterone,quadratic,1/x,-6.449235e-05,0.400838,-0.016355,0.99695356,0.99982185
Cortisol,quadratic,1/x,1.226937e-05,0.123721,-0.062459,0.99942096,0.99991116
Cortisone,quadratic,1/x,-3.964880e-04,0.431543,-0.115827,0.99967180,0.99892273
Dexamethasone,quadratic,1/x,-1.545729e-05,0.103576,-0.013306,0.99796983,0.99973519
DHEA,quadratic,1/x,-3.249691e-05,0.030909,0.177236,0.98415076,0.99294677
DHEAS,quadratic,1/x,-7.312725e-09,0.003939,-0.093300,0.99903000,0.99984455
Dihydrotestosterone,quadratic,1/x,-0.036130,0.564239,-0.178865,0.97656133,0.99077041
Progesterone,quadratic,1/x,-0.002326,0.978554,0.033613,0.99960863,0.99969849
Testosterone,quadratic,1/x,0.003025,1.219728,0.075714,0.99918397,0.99946955
