Sample,,,,,,,Aldosterone Results,,,,,,Aldosterone D4 (ISTD) Results,,,,,,DHEAS Results,,,,,,DHEAS D5 (ISTD) Results,,,,,,Cortisone Results,,,,,,Cortisone 13C3 (ISTD) Results,,,,,,Cortisol Results,,,,,,Cortisol D4 (ISTD) Results,,,,,,21-deoxycortisol Results,,,,,,21-deoxycortisol D8 (ISTD) Results,,,,,,Dexamethasone Results,,,,,,Dexamethasone D5 (ISTD) Results,,,,,,Corticosterone Results,,,,,,Corticosterone 13C3 (ISTD) Results,,,,,,11-deoxycortisol Results,,,,,,11-deoxycortisol D5 (ISTD) Results,,,,,,Androstenedione Results,,,,,,Androstenedione 13C3 (ISTD) Results,,,,,,11-deoxycorticosterone Results,,,,,,11-deoxycorticosterone 13C3 (ISTD) Results,,,,,,Testosterone Results,,,,,,Testosterone 13C (ISTD) Results,,,,,,DHEA Results,,,,,,DHEA D5 (ISTD) Results,,,,,,17-hydroxyprogesterone Results,,,,,,17-hydroxyprogesterone D8 (ISTD) Results,,,,,,Dihydrotestosterone Results,,,,,,Dihydrotestosterone D3 (ISTD) Results,,,,,,Progesterone Results,,,,,,Progesterone D9 (ISTD) Results,,,,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM,RT,Area,Final Conc.,Accuracy,Height,FWHM
,!,20260212_SST,20260212_SST01.d,ResponseCheck,,12/2/2026 2:33 pm,2.464,529784,1.7463,,75713,0.106,2.451,481178,,,69702,0.105,2.719,40557,336.1722,,6249,0.102,2.719,32974,,,4703,0.113,2.758,395052,2.7665,,61205,0.096,2.757,367489,,,56906,0.096,3.040,365176,13.4606,,56131,0.101,3.027,227505,,,35432,0.101,3.512,456954,1.4829,,75566,0.093,3.476,389808,,,61892,0.101,3.709,432528,10.6948,,66973,0.101,3.674,395852,,,59887,0.100,3.677,713789,3.7212,,113197,0.099,3.677,484132,,,73294,0.100,3.819,1566153,1.2059,,246843,0.097,3.794,1250710,,,193206,0.094,4.258,4918695,1.5522,,731715,0.098,4.257,4940993,,,753828,0.097,4.608,3130049,0.6040,,460347,0.101,4.596,3333709,,,478863,0.104,4.869,6981926,0.8448,,989756,0.105,4.856,6299991,,,870402,0.110,5.035,42658,30.7431,,6005,0.106,4.999,38894,,,5211,0.104,5.255,1322347,1.0075,,165900,0.118,5.184,1309282,,,172015,0.110,6.186,204853,2.4806,,22024,0.140,6.150,205169,,,24399,0.123,7.161,4428271,1.1552,,494986,0.133,7.055,3814521,,,422475,0.130
,!,20260212_SST,20260212_SST02.d,ResponseCheck,,12/2/2026 2:47 pm,2.452,586801,1.9976,,85044,0.107,2.439,468970,,,64032,0.112,2.719,39438,310.7268,,5982,0.099,2.707,34905,,,5135,0.107,2.746,418378,3.1158,,66610,0.093,2.745,341558,,,52520,0.096,3.028,394633,13.6887,,62309,0.097,3.015,241599,,,38225,0.097,3.501,495549,1.6359,,80934,0.094,3.464,383006,,,62436,0.095,3.697,409429,9.2485,,60378,0.098,3.674,434043,,,64870,0.099,3.666,678026,3.5427,,104192,0.100,3.665,483308,,,75287,0.098,3.807,1428634,1.2059,,207515,0.104,3.782,1140933,,,168258,0.098,4.258,5361859,1.8985,,812364,0.098,4.257,4437991,,,611369,0.106,4.596,3209917,0.6912,,458321,0.105,4.596,3003768,,,421134,0.106,4.845,6578894,0.8649,,894905,0.110,4.844,5807224,,,797095,0.111,5.023,42709,30.0539,,6218,0.106,4.987,39662,,,5160,0.113,5.231,1350783,1.1450,,180902,0.112,5.172,1181074,,,160269,0.113,6.186,216317,2.4299,,24943,0.122,6.150,220991,,,27027,0.121,7.173,4201878,1.1837,,485813,0.130,7.055,3535012,,,377652,0.138
,!,20260212_SST,20260212_SST03.d,ResponseCheck,,12/2/2026 3:00 pm,2.464,623875,2.2657,,93265,0.100,2.451,441308,,,58214,0.112,2.731,38629,298.0335,,6160,0.094,2.719,35770,,,5572,0.103,2.758,426167,2.9173,,65740,0.097,2.757,373914,,,57684,0.098,3.028,376635,12.2575,,59521,0.097,3.027,258696,,,42557,0.095,3.501,482737,1.8457,,77950,0.097,3.476,330406,,,53438,0.094,3.709,393524,8.9109,,58494,0.104,3.674,433196,,,65330,0.097,3.666,613729,3.2199,,91403,0.103,3.665,481868,,,72221,0.101,3.807,1485334,1.2974,,222115,0.096,3.782,1105841,,,171595,0.097,4.258,4772867,1.5962,,710582,0.101,4.257,4667968,,,668655,0.103,4.596,3515451,0.6819,,519387,0.103,4.584,3332670,,,467124,0.105,4.845,6702186,0.7487,,858139,0.118,4.856,6765953,,,913353,0.110,5.035,38529,21.0335,,5643,0.110,4.999,47392,,,6118,0.111,5.231,1482530,1.3258,,207021,0.106,5.184,1123413,,,145343,0.117,6.186,212991,2.7446,,22021,0.146,6.150,194052,,,24511,0.109,7.150,4330633,1.1380,,487398,0.132,7.043,3784752,,,400918,0.146
,!,20260212_SST,20260212_SST04.d,ResponseCheck,,12/2/2026 3:13 pm,2.464,619847,2.0494,,85642,0.115,2.451,483317,,,69835,0.104,2.731,35979,274.2082,,5095,0.118,2.707,36483,,,5397,0.104,2.758,426365,2.8126,,66007,0.097,2.757,389455,,,60447,0.098,3.028,413573,13.7904,,66819,0.095,3.015,251253,,,38302,0.099,3.512,494626,1.5736,,81737,0.093,3.464,397523,,,65352,0.095,3.697,394501,10.0646,,59290,0.101,3.674,383914,,,57732,0.102,3.666,560329,2.8309,,90302,0.098,3.665,501258,,,73849,0.103,3.807,1428937,1.2842,,210755,0.101,3.771,1074347,,,162085,0.095,4.246,4617113,1.4356,,660565,0.100,4.257,4995843,,,755230,0.098,4.596,3304751,0.6600,,474354,0.105,4.596,3232654,,,461419,0.107,4.845,6666227,0.7198,,909908,0.109,4.844,6978588,,,946943,0.115,5.023,38901,26.0593,,6133,0.098,4.987,40495,,,5638,0.109,5.231,1315842,1.1007,,173320,0.110,5.184,1195572,,,151832,0.116,6.174,202767,2.7585,,24652,0.123,6.126,183888,,,19964,0.130,7.161,4640495,1.3964,,569677,0.122,7.043,3325168,,,350374,0.143
,!,20260212_SST,20260212_SST05.d,ResponseCheck,,12/2/2026 3:27 pm,2.464,571678,1.8094,,79781,0.109,2.451,502092,,,72962,0.101,2.731,39046,291.9111,,5708,0.109,2.719,36981,,,5893,0.097,2.758,505042,3.0472,,81985,0.092,2.757,422449,,,70638,0.089,3.028,379645,14.2514,,59148,0.099,3.027,222896,,,33846,0.097,3.501,520449,1.6114,,83834,0.098,3.476,408409,,,64170,0.099,3.697,383730,9.6350,,57909,0.099,3.662,390281,,,58357,0.099,3.666,626855,2.8287,,94339,0.101,3.677,561209,,,90745,0.091,3.807,1455841,1.2100,,223334,0.095,3.782,1158844,,,173772,0.098,4.258,4558071,1.5286,,653829,0.103,4.257,4645987,,,677541,0.098,4.596,3496824,0.6281,,520806,0.100,4.596,3587209,,,526704,0.103,4.857,6596350,0.8289,,888435,0.111,4.844,6058311,,,799858,0.112,5.023,39026,28.0754,,5824,0.106,4.999,38283,,,5503,0.107,5.231,1236436,0.9921,,156128,0.121,5.172,1242575,,,171341,0.102,6.186,211184,2.5292,,21608,0.151,6.126,207638,,,25177,0.120,7.150,3720069,1.0463,,400142,0.135,7.067,3526510,,,339286,0.158
,!,20260212_SST,20260212_SST06.d,ResponseCheck,,12/2/2026 3:40 pm,2.452,611632,2.0242,,84652,0.112,2.439,482641,,,66598,0.110,2.743,34112,293.8179,,5125,0.103,2.731,32080,,,4969,0.098,2.758,497284,2.8484,,80649,0.092,2.757,447945,,,73170,0.092,3.040,386719,13.4506,,60617,0.096,3.027,241113,,,38881,0.093,3.512,531121,1.8171,,90598,0.094,3.476,369302,,,61771,0.095,3.709,380585,8.8358,,60401,0.097,3.674,422558,,,66651,0.095,3.677,613128,2.9042,,96726,0.100,3.677,534459,,,81212,0.102,3.807,1450952,1.2460,,209298,0.101,3.782,1123012,,,170481,0.093,4.269,4288065,1.3137,,627212,0.101,4.269,5045801,,,742637,0.098,4.608,2898822,0.4990,,390683,0.110,4.596,3702263,,,569124,0.094,4.857,7186469,0.9561,,989390,0.112,4.856,5773631,,,776433,0.110,5.035,40446,28.3641,,5563,0.113,4.999,39352,,,4726,0.126,5.231,1414318,1.1583,,181455,0.118,5.184,1222718,,,170658,0.106,6.174,225616,2.9776,,28229,0.113,6.150,191055,,,22101,0.122,7.161,4333964,1.1627,,494662,0.131,7.055,3709696,,,395743,0.140
,!,20260212_SST,20260212_SST07.d,ResponseCheck,,12/2/2026 3:54 pm,2.464,528916,1.6093,,70957,0.114,2.439,518582,,,75305,0.106,2.731,36236,311.2026,,5772,0.094,2.719,32018,,,4830,0.106,2.746,477177,2.8141,,75385,0.095,2.757,435601,,,68045,0.097,3.028,362736,13.0585,,56660,0.100,3.027,233233,,,35271,0.101,3.512,507698,1.7379,,79869,0.101,3.476,369231,,,61950,0.091,3.709,381916,10.2715,,60909,0.096,3.674,364095,,,52897,0.104,3.677,632106,3.3085,,101235,0.098,3.665,482858,,,76876,0.095,3.807,1389585,1.3600,,198546,0.103,3.782,988709,,,150136,0.096,4.246,4602617,1.4411,,700541,0.092,4.257,4962154,,,746682,0.096,4.584,3633249,0.6595,,551187,0.097,4.596,3556916,,,526705,0.103,4.845,6726347,0.7782,,933086,0.111,4.856,6551438,,,910178,0.110,5.023,43731,28.1019,,6540,0.104,4.987,42866,,,5610,0.110,5.231,1248023,1.0717,,159552,0.112,5.160,1163738,,,146880,0.119,6.174,199196,2.7391,,20744,0.147,6.138,181817,,,20465,0.129,7.150,4576171,1.2506,,527062,0.125,7.043,3649927,,,416650,0.128
,!,20260212_SST,20260212_SST08.d,ResponseCheck,,12/2/2026 4:07 pm,2.464,612689,2.1360,,87574,0.107,2.451,459005,,,62313,0.111,2.731,33435,289.4987,,5150,0.103,2.731,31954,,,4818,0.104,2.758,519925,3.0527,,87417,0.088,2.757,434042,,,71490,0.091,3.028,396725,13.8620,,61172,0.102,3.015,239724,,,37888,0.095,3.501,484430,1.6522,,78892,0.100,3.476,370704,,,60175,0.098,3.709,364290,8.2691,,52519,0.102,3.674,432588,,,68988,0.098,3.677,717149,3.8494,,113819,0.102,3.665,470052,,,72132,0.096,3.819,1369118,1.2709,,213088,0.094,3.782,1039692,,,158539,0.097,4.258,4583569,1.6321,,690455,0.097,4.257,4388521,,,653596,0.097,4.596,3462092,0.6138,,501430,0.103,4.596,3630686,,,532219,0.100,4.845,6901295,0.9011,,948248,0.106,4.856,5861892,,,802443,0.112,5.035,38936,23.4788,,5032,0.109,4.999,43994,,,5891,0.103,5.231,1330984,1.1656,,185182,0.105,5.172,1143724,,,143907,0.122,6.186,213640,2.9090,,27062,0.117,6.150,184685,,,19775,0.132,7.150,4194165,1.2228,,457188,0.136,7.032,3419048,,,368551,0.139
,!,20260212_SST,20260212_SST09.d,ResponseCheck,,12/2/2026 4:20 pm,2.464,555583,1.8123,,77840,0.108,2.439,487229,,,66507,0.110,2.731,31949,258.3422,,4578,0.111,2.719,34586,,,5108,0.108,2.758,483226,2.8350,,77424,0.096,2.745,437541,,,70939,0.092,3.016,390983,14.3059,,60125,0.098,3.015,228645,,,35509,0.097,3.501,484135,1.7058,,80552,0.096,3.476,358760,,,58144,0.096,3.709,399632,9.5483,,60493,0.099,3.662,410189,,,63608,0.099,3.677,602902,3.0362,,95722,0.100,3.665,502387,,,79800,0.093,3.807,1302775,1.1698,,189785,0.105,3.771,1071050,,,162154,0.096,4.258,4729631,1.6008,,750175,0.092,4.245,4612960,,,676461,0.099,4.584,3044723,0.5834,,423623,0.109,4.584,3351778,,,473009,0.102,4.845,5787289,0.6501,,757276,0.113,4.833,6652210,,,958846,0.100,5.023,45315,29.4033,,6211,0.108,4.987,42832,,,5757,0.106,5.231,1287422,1.1124,,185344,0.104,5.172,1157788,,,148495,0.119,6.174,207856,2.7913,,20641,0.153,6.126,186488,,,21355,0.124,7.150,4035066,1.1451,,437958,0.135,7.043,3505448,,,403513,0.121
,!,20260212_SST,20260212_SST10.d,ResponseCheck,,12/2/2026 4:34 pm,2.464,554260,1.7409,,78441,0.108,2.451,504879,,,70573,0.108,2.731,37647,343.4912,,6155,0.096,2.719,29908,,,4635,0.102,2.758,504284,2.9252,,77492,0.099,2.757,441139,,,72318,0.093,3.028,463423,16.7966,,77862,0.090,3.015,229520,,,36652,0.094,3.512,480534,1.6973,,77712,0.096,3.476,357894,,,58186,0.096,3.697,386714,9.9999,,59778,0.100,3.662,378796,,,57433,0.099,3.666,655334,3.8215,,100977,0.102,3.665,432702,,,67457,0.095,3.807,1345937,1.2264,,203768,0.098,3.782,1057691,,,163620,0.097,4.246,4681936,1.5029,,712310,0.095,4.245,4850096,,,750546,0.093,4.596,3543916,0.6513,,530991,0.098,4.596,3511061,,,489121,0.111,4.845,6151810,0.8814,,825921,0.110,4.844,5334801,,,666112,0.120,5.023,37427,24.6693,,5401,0.112,4.999,40683,,,5127,0.111,5.231,1321211,1.2951,,177503,0.105,5.172,1024353,,,133796,0.112,6.174,237308,2.6235,,26815,0.132,6.138,225419,,,25017,0.134,7.150,4082163,1.1904,,468940,0.127,7.043,3415365,,,382803,0.131
